 Category ,Course Code,Title of the Course,Description,Language,Link 1,Link 2 (if SP)
Compliance and Safety / Financial Compliance,FC008,Dealing with Consumer Fraud,"Being a customer can be very convenient, what with the advances in technology and how easy purchases and transactions can be. Unfortunately, the same can be said for being a fraudster. They can exploit advances in technology to fool customers and take advantage relatively easily. And because of this, consumer fraud is increasing by the year.

There are many ways someone can become a victim of fraud in this digital age. So it’s important to understand how to protect and educate yourselves and your customers. It’s also good to know how you should respond when it happens. This course will show you how.

By the end of this course, you’ll be able to:

• Identify the most common types of consumer fraud and how it can affect customers
• Understand what the correct procedures are for reporting fraud
• Educate customers about fraud to avoid them becoming victims of it

Why take this course?

Consumer fraud is constantly evolving. The only way to combat it is to make people familiar with the methods fraudsters use. This course is all about making you more savvy, and alert to the proper precautions. It’s for anyone who wants to be more aware of the ways consumer fraud happens and how to deal with it.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/831,
... / Teamwork / Teamwork Essentials,TWE09,Dealing with Difficult Personalities,"We all know someone who can be bossy or a bit of a know-it-all, don’t we? How about someone who always criticizes or doesn’t contribute at all and lets others pick up the slack? Politely, we describe them as ‘difficult’.

Dealing with pleasant, positive people is easy. But everyone goes through a period in their life when they aren’t at their best or are ‘difficult’, at least from someone else’s point of view. Whether it’s a ‘one-off’ or a permanently difficult personality you’re dealing with, being able to maintain a relationship with them in the workplace is vital for achieving goals successfully.

By the end of this course, you’ll be able to:

• Understand how to be assertive with someone difficult
• Keep a clear narrative and communicate successfully
• Deal with difficult people
• Defuse difficult encounters
• Identify the different types of difficult people

Why take this course?

Dealing with ‘difficult’ people can be, well, difficult. But your ability to deal with different types of people may influence your success and overall happiness more than many other skills you might develop, so it’s important stuff. This course will help by teaching you coping and negotiating strategies for dealing with those difficult people in your life.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/629,
Personal Development / Mindfulness,M0008,Dealing with Grief,"Grief is a complex and painful experience that can impact every area of your life and well-being. Each person’s experience of bereavement is unique. But for everyone, the loss of a loved one is a significant and distressing event.

It’s very likely that we’ll all experience loss at some point in our lives. Knowing that painful feelings are a natural part of grieving will help you understand your experience. And realizing that your grief will change as you move through it can give you hope and strength. This course is designed to help you understand grief and deal with it in a healthy way.

By the end of this course, you’ll be able to:

• Describe the different feelings grief can cause
• Define the 5 stages of grief
• Implement different support techniques as you grieve

Why take this course?

Losing someone you love is difficult to deal with. And grief is a natural reaction to that loss. This course will help anyone who is grieving to understand that their feelings are valid and normal. Each person’s experience of grief is unique. And your own might differ from day to day. But there are some general steps you can take to support yourself, as you live with loss.

5 mins | SCORM | Infographic",EN,https://horenso.talentlms.com/plus/catalog/courses/482,
Personal Development / Presentation Skills,PS006,Dealing with Nerves,"Giving a presentation is really no big deal – it’s just standing in front of people and talking. How difficult can that be? But when the moment comes, and all those people are looking at you, your palms sweat, your heart thumps, and your mind goes blank. That’s presentation nerves. All you want to do is dig a hole and disappear.

Ok, so here’s the good news. Put away the shovel, you won’t need it. There are tried-and-tested methods available to help you out. These easy techniques help to stop anxiety from becoming overwhelming. If you learn how to use them well, they can even turn that nervous energy to your advantage. And that’s what this course explores.

By the end of this course, you’ll be able to:

• Apply effective preparation techniques to manage stress
• Recognize how performance anxiety affects you
• Implement a plan to successfully deliver a presentation

Why take this course?

Nerves can affect any of us, at any time. If you’ve put lots of work into building a great presentation, you don’t want to let nerves stop you from delivering it well. And these techniques aren’t just helpful for presentations – they are useful for other stressful situations, too. This course will show you how to take control and stop nerves from getting the better of you.

5 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/514,
... / Sales / Sales Mastery,SM009,Dealing with Sales Fear,"Have you ever hesitated before picking up the phone or talking to a customer when trying to make a sale? Do you struggle to control your nerves moments before a big sales pitch? That’s ok, we’ve all been there. As confident as many salespeople appear on the outside, being nervous is a common problem. And it’s one that can feel like it’s holding you back from fulfilling your true potential.

Being nervous isn’t helpful when trying to make a successful sale. It can cause you to stumble over your words, therefore damaging your success rate and your confidence. Thankfully, there are ways to beat those pesky nerves and allow you to regularly close sales confidently and successfully. That’s what this course covers.

By the end of this course, you’ll be able to:

• Identify the causes of sales fear
• Recognize the best methods to combat sales fear
• Apply these methods to remove nerves during sales

Why take this course?

Whatever your sales skill level, you might suffer from nerves. It’s natural. Making sales without any nerves holding you back can greatly boost your sales success rate. This course will enable you to work out the causes of your sales fears, and will teach effective methods to ensure you’ll feel more confident when trying to close that next sale.

15 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/747,https://horenso.talentlms.com/plus/catalog/courses/688
Personal Development / Well-being Essentials,WE006,Dealing with Stress,"You know that feeling: you’ve burnt your breakfast, the freeway is a nightmare, and your to-do list is huge. Meanwhile, your 10:30 meeting has been pushed forward and the phone’s ringing off the hook. No wonder your hair is turning grey. Stresses like these can be difficult to deal with.

If you don’t recognize the signs and symptoms quickly, stress can be seriously damaging to your mental and physical health, impacting every part of your life, including your work. This course is designed to help you cope with those stresses so you can stay healthy and productive.

By the end of this course, you’ll be able to:

• Identify the main causes of stress
• Know how to spot if you, or someone else, is showing signs of stress
• Use simple strategies to manage your stress

Why take this course?

Feeling “stressed out” occasionally is normal, but you’ll need to take action before it starts affecting your life. This course will teach you how to recognize if you’re suffering from stress, and what to do about it. It will be beneficial to all workers, but managers or persons of responsibility pay close attention, as having a team member who’s suffering from stress will have a negative impact on the productivity of your company, making early intervention key.

10 mins | SCORM | Infographic",EN,https://horenso.talentlms.com/plus/catalog/courses/529,
... / Retail / Retail Essentials,R0005,Dealing with Stressful Situations,"We’ve all been there. An unhappy customer holds you up while the line of shoppers waiting to pay gets longer and longer. Your stress levels are rising. You need to figure out a way to resolve the situation and get the line moving, or you’re going to have even more unhappy customers to deal with. So, what do you do?

Being able to deal with stressful situations will help you thrive in retail. If you understand why situations can become stressful, you can prepare for them. Once a stressful event develops, it’s useful to know the most effective action to take. And being able to manage and reduce your own levels of stress will help you keep your cool.

By the end of this course, you’ll be able to:

• Recognize why situations become stressful
• Explain how to handle stressful situations
• Implement techniques to manage stress

Why take this course?

Anyone starting out in retail will benefit from taking this course. You’ll learn why stressful situations occur, discover how to deal with them, and learn techniques that will help you handle your own levels of stress.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1225,
... / Business Continuity / Business Continuity Applied,BCA05,Dealing with Supply Chain Disruptions,"The ultimate frustration: assembling flat-pack furniture, then discovering halfway through that you’re missing a vital part! It makes everything grind to a halt while you try to get the part or find a suitable alternative. Imagine this on a much larger scale. In business, having part of your supply chain fail, leaving you short of vital components, can create huge, wide-scale problems.

As part of business continuity, companies need to make sure things can keep moving in the event of a supply chain disruption. This takes some careful planning. But what do you need to plan for, and when should you action this plan? Take this course to find out.

By the end of this course, you’ll be able to:

• Recognize the areas of your supply chain that are critical for keeping production moving
• Identify problems that could lead to supply disruption at each point of your supply chain
• Create a backup plan for your supply chain that will keep critical production moving in the event of an disruption

Why take this course?

Businesses need to keep moving at all times. Having a good backup plan for your supply chain will help. For managers, leaders, and those involved in the supply chain, this course will explore potential supply chain problem areas. It’ll also help you identify the places in your supply chain that would cause the biggest issues, should disruption occur, and help you plan to mitigate these.

10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/896,
Human Resources / Career Management,CM012,Dealing with the Change - Team Dynamics,"Winning a promotion is great, and while you should be very happy, a promotion also comes with challenges. One of the most significant challenges that you might face is the shift in team dynamics. Most people will be happy for you, but some colleagues may have mixed or even negative feelings toward you in the wake of your move up the corporate ladder.

There’s no denying that team dynamics do naturally change when someone gets a promotion, and this change in relationships can be difficult to handle. But dealing with it in a positive way can result in a positive shift in dynamics for everyone involved. This course is designed to show you how to do so.

By the end of this course, you’ll be able to:

• Identify the ways in which your relationships with colleagues might be changed following promotion
• Recognize and avoid behaviors that can promote negative feelings among colleagues following a promotion
• Adopt positive behaviors to help you and your colleagues adjust to a new team dynamic

Why take this course?

This course is perfect for anyone about to receive a promotion, as good preparation for adjusting to changing team dynamics. If you’re moving up in the office hierarchy, then relationships will be affected, and this course is designed to help you with this big transition. During the course, you’ll discover how your relationships with your colleagues might be affected by your promotion and how you can avoid behaviors that might create negative feelings.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1215,
Sales & Service / Customer Success,CSS10,Dealing with the End of a Customer Relationship (Offboarding),"Sometimes professional relationships come to an end. It might happen when a customer has finished using a service, or when they want to end their contract. But if you don’t know how to offboard your customers, you could be selling yourself short.

Successful offboarding can lead to positive outcomes. When you know how to successfully end a customer relationship, your professional relationships will stay strong. That means you can offer customers incentives to come back in the future, ask them to provide feedback, or request referrals from them that lead to new customers.

Through this course, you'll be able to:

• Identify situations in which offboarding a customer is necessary
• Explain how to successfully end a relationship with a customer
• Describe how to maintain a positive relationship with a customer once offboarding is complete

Why take this course?

Offboarding a customer requires skill, confidence, and the right attitude. Whether you’re a customer-success manager, an account manager, or someone working in a senior customer role, this course is ideal for you. You’ll learn how to offboard customers, when you might end a customer relationship, and how to maintain good customer relationships after offboarding.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1107,
Leadership / Business Innovation,BI008,Dealing with Uncertainty,"Remember being a kid and wishing you had an all-knowing crystal ball? Or wearing out your collection of magic 8 balls only to keep getting the same fate? “Try again later!”

Unfortunately, we can’t see into the future. And that’s the thing about dealing with uncertainty. If we knew what was about to happen, would we change our decisions?

As businesses, we take risks all the time. Risks are about probabilities that can be reasonably assigned.
But uncertainty is trickier – it’s about futures for which a probability can’t be determined. It’s fear of the unknown. And that very fear can prevent us from making bold choices, initiating change, and innovating in our businesses.

By the end of this course, you’ll be able to:

• Differentiate between uncertainty and risk
• Identify tools for dealing with uncertainty in the workplace
• Demonstrate what’s needed from an innovation strategy when facing uncertainty

Why take this course?

Innovation is what drives business forward and allows for growth. But without overcoming uncertainty, innovation can’t happen. If you’re a leader, manager, or business owner, then this course is for you. It will provide guidance and practical tips to help improve how you tackle uncertainty in the face of everyday business decisions.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/401,
... / Technology / Artificial Intelligence Essentials,ZAIE03,Deep Reinforcement Learning,"Ever wonder how those smart speakers understand you when you talk to them as if they’re people? That’s all thanks to deep reinforcement learning. Gone are the days when you ask your home assistant to turn on the kitchen light to find out you’ve accidentally ordered a bunch of cooking utensils.

Deep reinforcement learning is a type of machine learning used in artificial intelligence. It’s made huge improvements to the way artificial intelligence works, and increased AI’s benefits to our everyday lives. This course will help you understand what it is and how it works.

By the end of this course, you’ll be able to:

• Understand how deep reinforcement learning works
• Identify ways in which deep reinforcement learning is used in artificial intelligence
• Recognize everyday scenarios which deep reinforcement learning has affected

Why take this course?

We all benefit from deep reinforcement learning in our everyday lives, even though we may not realize it. So, this course is for everyone. It’ll help to explain what deep reinforcement learning is, where it’s used, and how it benefits us.

10 mins | SCORM | Infographic",EN,https://horenso.talentlms.com/plus/catalog/courses/737,
... / Sales / Sales to Customer Success,SCS01,Defining Customer Success for Sales,"You’ve made a sale and got a new customer. But can you keep that customer? Bad experiences can send a valued client to a rival business and put a dent in sales revenues. To prevent customer churn and inspire customer loyalty, the customer experience needs to be optimized for customer success right from the start. That’s not as easy as it sounds.

Good customer success creates happy customers. And happy customers are a great asset for making more sales. They’ll buy more products, pay more for services, and encourage friends and family to do the same. To achieve good customer success, you need to know what “success” means to your customers, and then follow best practices to deliver that.

By the end of this course, you’ll be able to:

• Recognize the importance of understanding customer success early on to achieve sales success
• Identify what success looks like for the customer, so everyone works toward the same goal
• Describe how to apply best practices for customer success to deliver more revenue

Why take this course?

Good customer success makes sales easier. This course is for sales representatives, executives, managers, and customer success representatives. You’ll learn why it’s important to understand customer success early in the process, get a better idea of what success looks like for customers, and develop customer-success best practices.

15 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1045,
Human Resources / Learning Essentials,LNE04,Defining Learning Objectives,"Training comes in all shapes and sizes. But whatever the subject or your skill level, one thing needs to be crystal clear – what it is that you’re aiming to learn. This is where learning objectives come in. They’re an important aspect of learning, and there’s a trick to creating good ones.

In the workplace, it’s essential to write clear learning objectives for any training you offer. Defining the aims of the course will help ensure that trainees have coherent end goals and are fully engaged with the learning.

By the end of this course, you’ll be able to:

•Understand what learning objectives are
•Identify the benefits of learning objectives
•Write effective learning objectives

Why take this course?

Learning objectives are essential for giving direction and purpose to learners as well as helping you assess their work. If you’re a manager or person responsible for training, this course will explain to you what learning objectives are, discuss their benefits, and show you how to write them.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/340,
Leadership / Leadership Essentials,LE002,Delegation and Empowerment,"Most people have a playlist of go-to songs for when they want to feel confident and appreciated. Songs like Aretha Franklin’s iconic “Respect”. Listening to uplifting music can be especially helpful right before starting work or heading into a meeting. But wouldn’t it be great if those extra confidence boosts weren’t needed because every workplace made everyone feel valued?

Knowing how to effectively delegate and empower your workforce are vital components of strong leadership that significantly improve employee wellbeing, team morale, and productivity.

By the end of this course, you’ll be able to:

• Make distinctions between assigning and enabling
• Understand how successful delegation can lead to empowerment
• Identify the major benefits of employee empowerment for your organization

Why take this course?

The best leaders entrust their teams to complete tasks independently and give them the freedom to be accountable for their own choices. If you’re new to leadership or simply want a refresh, this course will help. It will show you how to positively allocate responsibilities to members of your team, while also endorsing their skills and contributions. As a result, your employees will “Respect” you more too.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/226,https://horenso.talentlms.com/plus/catalog/courses/691
Business Skills / Data Analysis,DA017,Descriptive and Exploratory Data Analysis Techniques,"Big data sets, such as numbers, may not seem like they make sense. Or it could seem they don’t tell you anything useful. That’s because you’ll usually need to perform some sort of analysis to gain any real insight from data. And depending on what you’re looking for, there are different ways you can do this.

Two commonly used forms of data analysis are descriptive and exploratory. Both can be extremely useful for understanding the data in front of you, and are closely linked. Knowing which to use, how, and when, is essential for getting the most out of them. This course will take you through an overview of what descriptive and exploratory data analysis are, including some examples of these methods, and how they can be helpful for you and your data.

By the end of this course, you’ll be able to:

• Understand what descriptive data analysis is and what it’s used for
• Understand what exploratory data analysis is and what it’s used for
• Recognize some key examples of descriptive and exploratory data-analysis techniques

Why take this course?

Understanding the correct type of analysis for your data to gain the insight you need is important. By performing the wrong kinds of analysis, you could be wasting time and causing unnecessary frustration and confusion. This course provides an overview of descriptive and exploratory data-analysis techniques, including what they’re useful for, and some key examples of each. This course is useful for anyone who needs to carry out data analysis.

15 mins | SCORM | Infographic",EN,https://horenso.talentlms.com/plus/catalog/courses/915,
... / Technology / Design for Everyone,DFE04,Design & Accessibility,"Even with the best of intentions, it can be easy to create a design that isn’t accessible for those with additional needs. We live in a diverse world, and a design that may look perfect to one person may leave another confused. Things some people may not even think about – like font choice – can make all the difference.

Luckily, we know a lot more about how to make designs more accessible these days, and have the resources to put it into practice. A good understanding of accessibility in design will elevate your designs from being aesthetically pleasing to truly fantastic. This course will take you through an overview of making your designs more accessible.

By the end of this course, you’ll be able to:

• Understand the importance of accessible design
• Identify key principles of accessible design
• Recognize tools available for creating accessible designs

Why take this course?

Understanding how to make designs accessible is essential for them to effectively reach all audiences, regardless of their needs. The more accessible your design, the more people will be able to engage with it. This course provides you with an overview of the importance of design and accessibility, as well as how to make your designs more accessible. This course is useful for anyone creating designs themselves, such as employees within a business.

15 mins | SCORM | Mini Guide",EN,https://horenso.talentlms.com/plus/catalog/courses/1005,
... / Technology / Design for Everyone,DFE05,Designing and the Law,"Although it might not be the first thing you think about when it comes to design, the law plays a big part. And it’s not just boring and complicated words that can be brushed away. The law takes certain aspects of design very seriously, and there are consequences to not following it. Of course, you don’t need to become an expert in the law to be a designer; you just need to maintain a general awareness.

The laws relevant to design are generally quite clear, and are there for your benefit as a designer. It’s not just about staying within the law yourself, but about protecting your own work. This course will take you through the importance of these laws, including key terms you’re likely to come across, as well as what the relevant laws are.

By the end of this course, you’ll be able to:

• Understand the importance of laws relating to design
• Define key terms relating to design and the law
• Identify key laws relevant to design

Why take this course?

Understanding the laws surrounding design is important, not only for avoiding potential consequences but for protecting your own work, too. The more you know, the more you can use the law to your advantage. This course provides you with an overview of the importance of laws relating to design, including key terms and key laws relevant to design. This course is useful for anyone creating designs themselves. This course is for awareness purposes only, and isn’t specific to the laws for any particular region.

10 mins | SCORM | Mini Guide",EN,https://horenso.talentlms.com/plus/catalog/courses/1006,
Human Resources / Learning Applied,LNA07,Designing Effective Learning Interventions,"Once you’ve identified the learning needs and challenges within the business, it’s time to start working on an intervention. But where do you start? For any learning intervention to provide value, it needs to be effective. Chances are, this isn’t generally achievable by just writing up a few documents with the relevant information.
There’s a lot to think about when designing a learning intervention. Many factors can influence what will and won’t be effective for any given piece of learning. So it’s important to know where to start to make sure your approach has a positive impact. This course will take you through the challenges you may face when designing effective learning interventions, factors to consider when designing eLearning interventions, and the steps to take to make sure these factors are accounted for.

By the end of this course, you’ll be able to:

• Explain the potential challenges to designing effective learning interventions
• Recognize key considerations to make when designing learning interventions
• Identify the steps necessary to ensure learning interventions are effective

Why take this course?

Ensuring your learning designs are effective is essential for providing value to the business, department, team, and individual learner. This course provides you with an overview of the challenges of effective learning interventions, key considerations to make to ensure your designs are effective, and the steps to take to ensure your designs are effective. This course is useful for anyone in HR, L&D, or people management, who are responsible for designing learning solutions.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1118,
... / Sales / Sales Mastery,SM015,Designing your Sales Dashboard,"There’s a lot of numbers involved in sales. They’re everywhere. And they’re key in monitoring sales performance. But keeping track of them all can be an absolute nightmare. You could end up pulling your hair out just trying to pull together all the figures you need for that all-important sales meeting in 10 minutes that you totally didn’t forget about.

But it doesn’t have to be that hard. You can use a sales dashboard to keep your key figures all in 1 place, so you can easily find the numbers you need, when you need them. Once you’ve got one and designed it to meet your specific needs, you’ll wonder how you ever managed without it! And this course will guide you through making sure it meets your needs.

By the end of this course, you’ll be able to:

• Recognize items commonly included in a sales dashboard
• Identify the benefits of a personalized sales dashboard
• Understand how to design a sales dashboard tailored to your needs

Why take this course?

Being able to easily track key metrics is essential in sales, and having them in 1 easily-accessible place makes this infinitely easier. If you’re in sales, this useful course will show you items commonly included in a sales dashboard, how personalizing the dashboard can benefit you, and how to design the best dashboard for your needs.

15 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/746,
... / Project Management / Project Management Applied,PMA06,Developing a Budget (Cost Estimating),"Starting a car without any fuel in the gas tank is never a great idea, is it? Without gas, the engine can’t start, the car won’t move, and you’ll never get anywhere.

Similarly, a project without a proper budget in place won’t go anywhere either. You need approved funding to get all the resources in place before you start your project on the road to success. After all, how many projects really get going for free?

Stakeholders want to see every cent accounted for before they give their approval. Whether that’s in direct or indirect costs, or part of a risk contingency plan. But how can you plan for unknown costs and risks? This course is designed to show you how to deliver a thorough and accurate budget for your project.

By the end of this course, you’ll be able to:

•Recognize the importance of a project budget
•Choose the estimation system that’s right for you
•Describe the steps to building a comprehensive budget for your project

Why take this course?

Project managers and their teams across all industries will benefit from effective project budgeting. This course will help you to create a fully costed budget to get approval from stakeholders, and lead your project to success.

15 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/606,
... / Business Continuity / Business Continuity Essentials,"
BC002",Developing a Contingency Plan,"Ah, an unexpected event! The Achilles heel of business plans. It could be anything from a fire or flood, to a break-in or even a cyberattack. But whatever it is, it has the power to wreak havoc on even the best business plans, and cause damage all round, too.

In business, any event that causes serious damage or disruption could spell disaster – financial or physical losses, and damaged reputations. But you can guard against these problems with a good contingency plan. Contingency planning is like your business’s safety blanket. If something goes wrong, a good plan could be the difference between triumph and disaster.

By the end of this course, you’ll be able to:

• Recognize the need for a contingency plan
• Define what makes a good contingency plan
• Identify the steps needed to develop your own contingency plan

Why take this course?

For business leaders, this course will demonstrate why having a good contingency plan is vital. In addition, it’ll explain what makes a contingency plan good. And by using the steps laid out in this course, you’ll be able to develop your own watertight contingency plan to make sure your business stays afloat, whatever happens.

10 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/535,
Practicing Leadership,"PL006


",Developing a High-Performing Team,"This course was created to be used as practice for the skills the managers have learned in our courses 'High-Performing Teams Framework: Forming', 'High-Performing Teams Framework: Storming', and 'High-Performing Teams Framework: Norming'.



They say a team’s only as good as its weakest member. But a lot of that’s down to the way teams are nurtured. As a leader, you’re in a position to set your teams up to take on more-advanced roles and grow professionally. That doesn’t happen automatically, though. It needs a solid method behind it, to make sure you can get the best out of everyone.



One good framework to use here is “forming, storming, and norming.” It was developed to quickly create top-performing teams by nurturing their skills. It breaks the team-building process into phases, to help you see how to turn team members’ potential into reality. But how does it work? Well, this course will explain.



By the end of this course, you’ll be able to:



• Recognize the importance of the “forming”, “storming”, and “norming” phases of developing high-performing teams
• Identify the key elements of the “forming”, “storming”, and “norming” phases
• Understand how to effectively manage the “forming”, “storming”,  and “norming” phases when building a high-performing team



Why take this course?



Building a strong, high-performing team is vital for success. And as a leader, it’s your job to mentor and grow your team professionally. This course brings to life techniques for “forming”, “storming”, and “norming” your team’s development. So, by using the methods in this course, you’ll be able to set your team up for success.



10 mins | SCORM | Development Plan",EN,https://horenso.talentlms.com/plus/catalog/courses/1396,
... / Retail / Retail Essentials,R0008,Developing Product Knowledge,"Making a sale can be tough. Sometimes, to be successful you need access to every sales technique in the book. Of course, it helps if you have a great product. But when you’re trying to sell that product to a customer, it doesn’t look good if they know more about it than you do.

That’s when good product knowledge can help. With good product knowledge, you’ll understand the items you’re selling, what they can do for your customer, and even what their limitations are. Know your products inside out, and you’ll be able to sell with confidence and answer any questions your customers may have.

By the end of this course, you’ll be able to:

• Recognize the benefits of good product knowledge
• Explain how to improve your product knowledge
• Use product knowledge to boost sales

Why take this course?

If you work in retail, then this course is for you. It’ll give you the lowdown on good product knowledge, show how it can benefit you as a retail employee, and explain how to develop it further if necessary. And, once developed, you’ll find out how to use your product knowledge to boost sales.

15 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/779,
Business Skills / Data Analysis,DA006,Developing Research Skills,"Have you ever presented something as a fact, when in reality it might have been fiction? Writing an effective report relies on ensuring that everything you include is correct, no matter how well you know the subject. To make sure you get your facts right, you need to do your research.

Good research isn’t just about collecting as much data as you can. You also need to be able to recognize which sources are reliable, and which are less trustworthy. Poor information gathering or presentation might mean you present incorrect information and could affect your credibility. So, it’s important to develop your research skills to ensure you’re increasing your knowledge and communicating new facts to your colleagues effectively.

By the end of this course, you’ll be able to:

• Recognize reliable sources
• Gather and select useful information
• Organize and present your findings effectively

Why take this course?

This course is aimed at anyone who needs to write reports and might need to refresh their research skills. It will help you plan a clear course of action for your research, gather relevant information, and show your findings in a well-organized document or presentation.

10 mins | SCORM | Infographic",EN,https://horenso.talentlms.com/plus/catalog/courses/554,
... / Marketing / Marketing Skills Applied,MSA01,Developing Your Marketing Strategy,,EN,https://horenso.talentlms.com/plus/catalog/courses/587,
"
... / Customer Service / Customer Service Essentials",CSE11,Different Types of Interactions,"Imagine if you interacted with your grandma in the same way as you interact with your line manager. Or if you spoke to a stranger the same way you speak to your partner. It just wouldn’t be appropriate. And it’s the same in customer service, too.

Different interactions call for different approaches. Sometimes the best way of helping a customer is through a face-to-face chat. At other times a phone call or email is more appropriate. As someone who works in customer service, it’s up to you to match the interaction to your customers’ needs. This course will show you how.

By the end of this course, you’ll be able to:

• Identify key customer service interactions
• Explain how to handle common customer service scenarios
• Follow some best-practice tips to improve customer interactions

Why take this course?

Whether you’re a customer service leader or working on the front line, you have the power to shape customer interactions. Matching your interactions to the customers’ needs can help bring about more positive outcomes. In this course, you’ll learn about key customer service interactions, how to deal with common scenarios, and best-practice tips for improving interactions.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/1186,
"DEI (Diversity, Equality, Inclusion) / Diversity and Inclusion",DI007,Digital Accessibility,"When building a shop, it’s important to make sure facilities like toilets and parking are fully accessible. When you build a website or create digital assets, you’ll have similar considerations. Closed captions on videos for deaf people, and keyboard-navigable websites for those that can’t physically use a mouse are just 2 examples.

Digital accessibility is all about making sure your website and online content can be easily used by as many people as possible.

In many countries, legislation is in place to protect people’s rights by ensuring organizations adhere to standards relating to digital accessibility. But the benefits of this approach go way beyond staying on the right side of the law. This course will help you explore them.

By the end of this course, you’ll be able to:

• Define digital accessibility and the barriers faced by users
• Describe the benefits of ensuring your digital content is accessible
• Demonstrate the key principles that increase digital accessibility

Why take this course?

These days most organizations have an online or digital presence, so we all need to understand the principles of digital accessibility to make sure that we are relevant and useful to as many people as possible. Ensuring your digital content is accessible improves usability and can even boost the search engine ranking of your website. Take this course to understand best practice in this area and access the many benefits of this approach.

15 mins | SCORM | Workbook",EN,https://horenso.talentlms.com/plus/catalog/courses/267,https://horenso.talentlms.com/plus/catalog/courses/641
... / Coaching / Coaching Applied,CAP05,Digital Coaching,"When technology evolves, it makes sense for the workforce to evolve with it. In recent years, the workforce is shifting to a remote or hybrid model of working. Employers are looking for new ways to support employees from their own homes. This can apply to how we choose to coach others.

The traditional model of coaching has been transformed: Coaching now incorporates digital platforms. With digital coaching, you can support employees in a virtual space without being face to face. Digital coaching is a data-driven experience which can lead to numerous learning opportunities and benefits for your employee and organization.

By the end of this course, you’ll be able to:

• Identify the differences between digital coaching and traditional coaching
• Understand how digital coaching works
• Recognize the benefits of digital coaching

Why take this course?

When you’re coaching employees, it’s vital to understand how digital coaching can transform the learning process for the needs of your organization and the goals of your coachee. This course will explain the differences between digital and traditional coaching, how to utilize digital coaching for your business, and how to recognize the benefits of digital coaching.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/901,
... / Technology / Digital Transformation Essentials,"DTE04

",Digital Disruption,"Digital disruption. It’s one of those buzzwords that gets thrown around so often it starts to lose meaning. Put simply, this term explains why renting a DVD or flicking through a phone book can feel hopelessly outdated. But what exactly does it have to do with you?

If a technology significantly alters the way you operate, it’s considered “disruptive.” And with technology improving all the time, businesses that disrupt are the ones that stay on top. This kind of change can affect employees at any level by automating or simplifying some of their responsibilities. So it helps to know how you, too, might need to adapt in your role.

By the end of this course, you’ll be able to:

• Explain why digital disruption is a positive step
• Recognize the challenges associated with digital disruption
• Apply digital disruption techniques at every level

Why take this course?

Thanks to digital transformation, the workplace is an ever-changing landscape. It’s a people-oriented process, meaning all employees are at the heart of change in the workplace. By taking this course, you’ll learn why digital disruption brings positive change and how it can help you to stay future-proof.

10 mins | SCORM | Takeaway Tasks",EN,https://horenso.talentlms.com/plus/catalog/courses/561,
